published_line_ref,line_ref
B1,MTA NYCT_B1
B100,MTABC_B100
B103,MTABC_B103
B11,MTA NYCT_B11
B12,MTA NYCT_B12
B13,MTA NYCT_B13
B14,MTA NYCT_B14
B15,MTA NYCT_B15
B16,MTA NYCT_B16
B17,MTA NYCT_B17
B2,MTA NYCT_B2
B20,MTA NYCT_B20
B24,MTA NYCT_B24
B25,MTA NYCT_B25
B26,MTA NYCT_B26
B3,MTA NYCT_B3
B31,MTA NYCT_B31
B32,MTA NYCT_B32
B35,MTA NYCT_B35
B36,MTA NYCT_B36
B37,MTA NYCT_B37
B38,MTA NYCT_B38
B39,MTA NYCT_B39
B4,MTA NYCT_B4
B41,MTA NYCT_B41
B42,MTA NYCT_B42
B43,MTA NYCT_B43
B44,MTA NYCT_B44
B44-SBS,MTA NYCT_B44+
B45,MTA NYCT_B45
B46,MTA NYCT_B46
B46-SBS,MTA NYCT_B46+
B47,MTA NYCT_B47
B48,MTA NYCT_B48
B49,MTA NYCT_B49
B52,MTA NYCT_B52
B54,MTA NYCT_B54
B57,MTA NYCT_B57
B6,MTA NYCT_B6
B60,MTA NYCT_B60
B61,MTA NYCT_B61
B62,MTA NYCT_B62
B63,MTA NYCT_B63
B64,MTA NYCT_B64
B65,MTA NYCT_B65
B67,MTA NYCT_B67
B68,MTA NYCT_B68
B69,MTA NYCT_B69
B7,MTA NYCT_B7
B70,MTA NYCT_B70
B74,MTA NYCT_B74
B8,MTA NYCT_B8
B82,MTA NYCT_B82
B82-SBS,MTA NYCT_B82+
B83,MTA NYCT_B83
B84,MTA NYCT_B84
B9,MTA NYCT_B9
B99,MTA NYCT_B99
BM1,MTABC_BM1
BM2,MTABC_BM2
BM3,MTABC_BM3
BM4,MTABC_BM4
BM5,MTABC_BM5
Bx1,MTA NYCT_BX1
Bx10,MTA NYCT_BX10
Bx11,MTA NYCT_BX11
Bx12,MTA NYCT_BX12
Bx12-SBS,MTA NYCT_BX12+
Bx13,MTA NYCT_BX13
Bx15,MTA NYCT_BX15
Bx16,MTA NYCT_BX16
Bx17,MTA NYCT_BX17
Bx18,MTA NYCT_BX18
Bx19,MTA NYCT_BX19
Bx2,MTA NYCT_BX2
Bx20,MTA NYCT_BX20
Bx21,MTA NYCT_BX21
Bx22,MTA NYCT_BX22
Bx23,MTABC_BX23
Bx24,MTA NYCT_BX24
Bx26,MTA NYCT_BX26
Bx27,MTA NYCT_BX27
Bx28,MTA NYCT_BX28
Bx29,MTA NYCT_BX29
Bx3,MTA NYCT_BX3
Bx30,MTA NYCT_BX30
Bx31,MTA NYCT_BX31
Bx32,MTA NYCT_BX32
Bx33,MTA NYCT_BX33
Bx34,MTA NYCT_BX34
Bx35,MTA NYCT_BX35
Bx36,MTA NYCT_BX36
Bx38,MTA NYCT_BX38
