id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
1,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B1,43,26,0,0,0,0,0,125,361,1316,1547,2360,2841,2881,3608,5670,7403,5600,3817,2851,2318,1041,310,224,44342
3,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,22,89,163
4,SIM10,0,0,0,0,1353,7291,7930,4740,3227,600,0,0,0,0,2877,7565,7062,6139,5871,2244,24,0,0,0,56923
5,B44,5059,3018,1896,1863,2904,4017,9009,13365,13205,10926,11145,11634,12167,16749,22061,24890,23170,16616,14450,13084,10568,7502,6516,5631,261445
6,Q12,109,0,0,0,15,122,230,285,595,602,312,219,555,849,1030,660,1078,863,746,1109,995,1351,1345,543,13613
7,Bx5,0,0,0,0,0,221,253,189,385,218,466,604,656,800,1282,2031,1419,1558,1321,681,502,391,196,0,13173
8,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Q8,0,0,0,0,0,41,638,565,760,272,448,253,287,172,64,0,0,0,109,148,161,193,0,0,4111
13,Q47,513,21,0,0,0,1657,2623,3776,3204,3231,2284,2158,2849,3663,5234,6315,4965,4774,4393,4274,1898,1868,988,903,61591
14,Bx6-SBS,0,0,0,0,0,1941,14394,17156,17473,14273,11053,13737,16983,24076,31522,38291,38346,33179,28101,24425,16353,7616,759,0,349678
15,Bx36,4666,2865,1401,759,985,4215,11370,21427,26165,19872,18180,18831,25068,31758,38685,45645,45903,38697,31254,23309,16128,10594,8178,6066,452021
16,Bx6,2813,1325,697,1611,3097,5667,6008,8394,9888,6658,5328,6864,10101,12362,15752,16875,18662,16399,13733,9580,6464,5571,5347,3981,193177
17,Bx35,1811,688,357,237,633,2259,4833,9128,9607,8759,8224,9432,11009,13463,17227,19003,20056,18604,14376,11703,7108,4389,3658,3454,200018
18,B35,6851,2736,2007,1289,3542,9091,19635,37048,45360,40864,42119,47100,56023,70317,87681,106041,109260,91000,74965,54955,38498,23593,16053,11064,997092
19,Bx19,4333,1971,2650,2616,3185,6019,10501,17885,21075,18084,18132,21447,24383,29768,36657,46619,45377,37544,28241,20282,14080,11248,9175,8058,439330
20,Bx39,1199,432,832,858,1865,3413,5368,10675,10243,10203,10757,10201,13683,17941,23800,27428,22800,17526,15724,11710,8394,5393,4119,2305,236869
21,Bx2,88,0,0,0,0,60,149,241,1298,1335,918,1904,2786,3471,5115,4888,4122,3678,2848,1818,858,406,377,294,36654
22,Bx40,65,55,26,68,384,938,1134,2210,2242,1999,1534,1676,1712,1347,3022,3561,2883,1326,1416,1167,937,614,359,548,31223
23,Bx1,442,1003,1362,774,1302,421,99,575,827,866,1488,1877,1255,773,601,2549,5033,4067,4092,2859,1002,1165,724,478,35634
24,Bx22,201,13,0,0,0,157,599,701,1164,1051,1255,1010,1910,1779,2444,3383,3426,4295,3901,3010,3455,2669,1633,1124,39180
25,Bx42,286,44,0,0,84,196,530,518,948,1768,1286,1175,1355,1075,1788,2579,3000,1711,3015,1893,965,370,304,84,24974
26,Bx15,663,617,461,718,726,317,1511,1574,1446,1294,1463,2038,1394,1534,2690,3647,4923,5174,6341,2809,2924,1177,973,968,47382
27,Bx12,0,0,0,0,0,2,316,429,535,208,158,33,110,148,497,458,321,10,0,0,0,0,0,0,3225
28,Bx41,80,61,190,45,188,47,144,130,0,0,0,0,22,0,0,225,0,77,280,252,184,310,0,5,2240
29,Bx9,193,70,3,0,58,247,922,1445,1174,923,1651,2029,2207,2964,3827,7745,8412,7751,6886,3572,2387,1478,1632,440,58016
30,Bx4A,0,0,0,0,0,88,617,811,927,1100,875,1071,990,1319,1634,1564,2990,3197,2382,1987,888,1179,271,169,24059
31,Bx4,1182,1648,1679,1183,1971,1369,577,557,1295,1366,791,478,699,573,718,1732,3028,1887,2503,922,1620,332,1210,1218,30538
32,Q59,852,653,782,1185,1622,3668,10325,13253,10912,7469,7724,6821,8081,10201,15325,19510,22558,21381,15284,9723,5908,4298,3263,2000,202798
33,SIM22,0,0,0,0,0,1059,2227,1829,791,522,21,0,0,0,0,1168,1719,1356,929,501,44,0,0,0,12166
34,SIM3,0,0,0,0,0,1999,2815,1644,1124,647,122,0,0,10,8,1717,2253,2006,1409,204,0,0,0,0,15958
35,X68,0,0,0,0,0,0,1033,1748,1191,495,32,0,0,0,0,0,1663,2476,1703,766,155,1,0,0,11263
36,X63,0,0,0,0,0,184,1698,1920,1208,384,0,0,0,0,0,37,1284,2858,2661,1204,123,0,0,0,13561
37,X64,0,0,0,0,0,68,929,691,603,89,0,0,0,0,0,0,763,221,498,552,2,0,0,0,4416
38,SIM4,0,0,0,0,0,1037,2417,2893,1977,647,117,0,0,0,0,9,2282,2797,1795,363,16,0,0,0,16350
39,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,X37,0,0,0,0,0,0,1062,2453,2136,459,0,0,0,0,0,63,1827,2607,2523,1378,27,0,0,0,14535
41,X28,103,1,0,0,0,1772,3817,2822,2088,1905,908,809,1104,1303,2074,3589,3330,3263,2710,2615,1239,516,255,123,36346
