id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
1,M3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B1,1.11111,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5882,9.67647,12.265,14.3672,14.4878,11.8473,13.5789,13.6982,15.7643,14.8832,14.4274,12.952,7.45038,8.29114,2.69565,5.76,12.6351
3,BxM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,SIM10,0.0,0.0,0.0,0.0,7.12105,10.3272,8.86034,6.61088,7.15521,5.40541,0.0,0.0,0.0,0.0,11.3268,10.168,8.69704,8.18533,6.50887,5.43341,1.6,0.0,0.0,0.0,8.17859
5,B44,8.56546,4.66316,3.68465,4.33206,6.42073,7.43373,9.33763,11.2069,12.4075,9.4523,9.70946,10.0775,10.6655,12.4856,14.8059,13.922,14.1078,13.7321,10.5809,9.41064,8.11273,6.54178,6.9386,7.59052,10.5697
6,Q12,5.58333,0.0,0.0,0.0,3.0,10.1667,10.0,13.6,13.1765,11.0217,8.61539,4.79412,8.2381,6.34694,16.6,7.02381,13.8409,9.84746,10.7818,10.5652,7.56757,6.91071,8.45912,8.22727,9.01676
7,Bx5,0.0,0.0,0.0,0.0,0.0,15.7857,12.65,11.1176,13.2759,12.1111,10.8372,14.0465,18.2222,19.0476,17.3243,25.3875,21.1791,23.6061,19.1449,10.4769,14.7647,11.5,10.8889,0.0,17.13
8,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Bx21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,QM24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Q112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Q8,0.0,0.0,0.0,0.0,0.0,5.85714,13.5366,10.8056,14.5185,5.8,9.21053,8.82353,11.48,7.16667,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7847
13,Q47,7.64706,2.57143,0.0,0.0,0.0,8.81383,6.97826,7.86429,6.9383,8.56536,6.94059,6.07692,6.90071,8.59214,8.76888,9.29799,8.10468,7.97143,6.38476,7.66147,4.9193,5.52222,4.08397,5.78571,7.44948
14,Bx6-SBS,0.0,0.0,0.0,0.0,0.0,8.29612,11.9771,14.0935,15.5616,10.4491,9.94209,12.0699,13.7806,17.8452,19.0236,19.8854,23.6289,23.6327,16.2443,13.0822,9.47257,8.85689,11.4286,0.0,15.4582
