id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
1,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B1,10,20,0,0,0,0,0,0,180,1316,1435,1839,1782,1552,1806,3041,4682,2932,1789,1619,976,655,124,144,25902
3,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,SIM10,0,0,0,0,1353,7291,7930,4740,3227,600,0,0,0,0,2877,7565,7062,6139,5871,2244,24,0,0,0,56923
5,B44,3075,1329,888,1135,2106,3085,6527,10131,10199,8819,8622,9231,9215,13472,17545,19644,17141,12304,10655,8846,6693,5011,3955,3522,193150
6,Q12,67,0,0,0,15,122,230,272,448,507,224,163,346,311,581,295,609,581,593,972,840,1161,1345,543,10225
7,Bx5,0,0,0,0,0,221,253,189,385,218,466,604,656,800,1282,2031,1419,1558,1321,681,502,391,196,0,13173
8,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Q8,0,0,0,0,0,41,555,389,392,29,175,150,287,172,64,0,0,0,0,0,0,0,0,0,2254
13,Q47,260,18,0,0,0,1657,2568,3303,2699,2621,1402,1343,1946,2844,3832,5086,3639,3627,3352,3440,1402,1491,535,567,47632
14,Bx6-SBS,0,0,0,0,0,1709,10983,12966,13383,10564,7725,9149,12058,18220,24217,30186,29607,24578,20484,17661,11225,5013,480,0,260208
15,Bx36,3542,1773,575,202,439,2943,7381,14938,19823,14300,12689,14819,18454,24935,30556,33675,34411,29800,24173,16505,10366,6212,4736,3449,330696
16,Bx6,2079,870,697,1604,2962,4716,4732,6353,7029,4696,3128,4303,6957,9068,11454,11970,14933,12287,10298,6302,3534,4271,4299,3290,141832
17,Bx35,807,323,145,129,517,2141,3940,6839,7030,6769,5046,5938,7790,10258,12936,14291,14590,13811,10673,8624,5255,3302,2751,2433,146338
18,B35,3811,1529,1013,769,2426,6408,14623,26983,33925,30704,29715,32620,38667,49523,63709,75982,78940,64547,56414,40271,26328,15837,11550,7754,714048
19,Bx19,1999,676,1582,1735,2222,4110,7233,11647,14565,13152,12161,13197,16412,20822,25714,32041,32028,26521,20285,13699,8848,7184,6518,6436,300787
20,Bx39,625,353,592,563,1547,2450,4507,8136,7573,7321,7087,6924,9675,13633,18955,21749,16036,11249,10542,8075,6366,3802,3333,1801,172894
21,Bx2,88,0,0,0,0,60,149,241,1298,1249,531,1461,2115,2490,4456,4578,3744,2767,1814,1542,699,318,311,195,30106
22,Bx40,6,0,0,22,303,845,981,1853,1550,1573,1393,1331,1471,1245,2627,2923,2420,853,952,821,769,371,284,147,24740
23,Bx1,285,814,876,634,1086,270,99,307,490,620,1215,1057,968,654,303,2380,4538,3484,3688,1821,843,1165,724,474,28795
24,Bx22,201,13,0,0,0,157,599,640,1074,725,878,537,832,792,1323,2412,2393,2670,2276,1556,1733,1709,1631,1124,25275
25,Bx42,162,44,0,0,0,85,224,417,582,1548,1246,892,932,896,1030,2278,2606,1303,2410,1491,660,317,304,64,19491
26,Bx15,562,305,231,242,180,245,947,1335,1155,850,1149,1230,634,457,1143,2955,3610,4237,4283,2103,1985,1144,973,968,32923
27,Bx12,0,0,0,0,0,0,0,116,330,124,157,0,0,0,99,312,143,0,0,0,0,0,0,0,1281
28,Bx41,80,61,190,45,188,47,144,130,0,0,0,0,22,0,0,225,0,77,280,252,184,215,0,5,2145
29,Bx9,0,0,0,0,0,10,342,869,889,690,1463,1790,1597,1943,2952,6324,7098,5792,5840,3057,1678,1257,1356,323,45270
30,Bx4A,0,0,0,0,0,88,617,729,918,1100,689,1038,929,1240,1522,1558,2931,2720,1963,1623,731,815,271,169,21651
31,Bx4,778,1053,850,766,1211,796,416,557,1140,1157,782,367,600,543,718,1330,2823,1887,2291,617,1262,332,650,752,23678
32,Q59,546,422,477,826,1234,2908,8508,10324,8560,5220,5213,4182,5076,6975,10299,13701,16619,15012,11107,6562,3500,2928,2336,1401,143936
33,SIM22,0,0,0,0,0,1059,2227,1829,791,522,21,0,0,0,0,1168,1719,1356,929,501,44,0,0,0,12166
34,SIM3,0,0,0,0,0,1999,2815,1644,1124,647,122,0,0,10,8,1717,2253,2006,1409,204,0,0,0,0,15958
35,X68,0,0,0,0,0,0,1033,1748,1191,495,32,0,0,0,0,0,1663,2476,1703,766,155,1,0,0,11263
36,X63,0,0,0,0,0,184,1698,1920,1208,384,0,0,0,0,0,37,1284,2858,2661,1204,123,0,0,0,13561
37,X64,0,0,0,0,0,68,929,691,603,89,0,0,0,0,0,0,763,221,498,552,2,0,0,0,4416
38,SIM4,0,0,0,0,0,1037,2417,2893,1977,647,117,0,0,0,0,9,2282,2797,1795,363,16,0,0,0,16350
39,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,X37,0,0,0,0,0,0,1062,2453,2136,459,0,0,0,0,0,63,1827,2607,2523,1378,27,0,0,0,14535
