id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
1,M3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B1,4.125,1.5,0.0,0.0,0.0,0.0,0.0,15.625,30.1667,0.0,8.61539,14.4722,11.0312,13.8438,12.5139,13.7644,14.629,14.8222,12.0,8.55556,10.5669,5.76119,6.0,3.47826,12.0602
3,BxM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57143,2.0,3.14286,8.09091,5.82143
4,SIM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B44,7.0605,5.3619,3.78947,3.87234,4.43333,6.60993,10.3849,10.7442,11.2584,8.96596,10.0119,9.0,9.43131,10.7443,11.822,10.8165,11.3755,8.60679,7.42661,8.24514,8.38745,6.84341,8.26129,7.19795,8.64275
6,Q12,3.5,0.0,0.0,0.0,0.0,0.0,0.0,3.25,12.25,7.30769,7.33333,9.33333,6.74194,13.122,8.63461,22.8125,14.2121,9.09677,5.27586,5.26923,7.04545,11.1765,0.0,0.0,9.4902
7,Bx5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Bx21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,QM24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Q112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Q8,0.0,0.0,0.0,0.0,0.0,0.0,10.375,16.0,19.3684,12.7895,14.3684,11.4444,0.0,0.0,0.0,0.0,0.0,0.0,15.5714,9.25,8.05,16.0833,0.0,0.0,13.2643
13,Q47,4.6,1.5,0.0,0.0,0.0,0.0,6.875,7.0597,7.53731,9.24242,8.82,7.83654,8.85294,6.34884,10.3852,7.14535,9.6087,8.43382,11.8295,8.6875,7.75,8.97619,8.08929,6.33962,8.30893
14,Bx6-SBS,0.0,0.0,0.0,0.0,0.0,5.15556,8.83679,8.91489,9.78469,9.3191,7.98082,10.645,10.9688,13.0423,14.7576,15.2064,17.0019,15.4694,13.5534,12.8349,10.5732,10.2078,9.0,0.0,12.0563
15,Bx36,7.80556,7.8,6.50394,4.84348,5.57143,7.18644,12.9094,15.0557,16.912,17.1975,16.9475,12.0843,18.631,19.4943,17.9448,23.1528,22.7115,19.4683,18.3446,18.7956,17.5671,16.4737,18.5054,20.936,16.8812
16,Bx6,8.15556,6.31944,0.0,1.4,4.35484,10.4505,8.86111,8.29675,10.9962,8.72,9.20502,9.96498,11.1489,11.2423,14.619,16.2957,13.6095,14.3275,13.7952,12.7549,11.7671,8.90411,8.80672,8.22619,11.4227
17,Bx35,7.32847,5.28986,5.17073,3.27273,3.74194,4.72,9.11224,12.1755,14.642,12.6752,16.0505,17.47,17.1223,16.4359,20.8301,19.9661,23.869,21.7864,19.4895,14.6619,11.8782,8.76613,11.9342,10.9785,15.443
18,B35,6.87783,4.17647,4.73333,3.76812,5.11927,6.16782,9.01439,12.0107,13.5647,12.2854,13.8747,15.6541,17.4082,16.8509,16.3408,17.1864,18.2761,16.9679,13.6204,12.4335,11.3526,8.9252,7.51753,7.73364,13.6138
19,Bx19,9.97436,9.25,9.70909,8.08257,5.87195,8.56054,11.8406,15.3645,14.8292,13.0822,15.3496,19.6897,19.0694,19.792,20.7647,23.3248,21.6003,20.4888,16.6444,16.9229,15.2982,14.7246,13.4192,11.1862,16.708
20,Bx39,7.0,5.64286,8.0,6.14583,6.625,8.44737,10.25,14.6763,14.8333,12.0083,12.2333,12.137,14.2633,15.331,18.0112,17.9148,20.5593,18.1942,14.9769,12.5345,9.01333,9.14368,7.78218,6.37975,13.8474
21,Bx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55556,12.0938,15.8214,41.9375,57.7059,34.6842,16.3158,21.0,27.6061,36.9286,16.2353,9.9375,4.63158,5.07692,5.5,21.6821
22,Bx40,4.91667,3.05556,2.16667,2.42105,2.38235,8.45455,10.2,8.925,15.3778,23.6667,8.29412,18.1579,17.2143,8.5,18.8095,24.5385,13.2286,12.4474,16.0,17.3,10.5,11.5714,3.94737,12.5312,11.9392
23,Bx1,6.28,4.725,6.75,3.04348,6.35294,7.19048,0.0,17.8667,21.0625,24.6,18.2,34.1667,19.1333,13.2222,42.5714,11.2667,24.75,30.6842,21.2632,35.7931,22.7143,0.0,0.0,4.0,14.8998
24,Bx22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71429,6.42857,15.5238,12.5667,11.5366,21.56,17.625,25.4773,21.5778,24.0233,35.3261,31.8627,35.4634,46.5405,34.2857,2.0,0.0,25.0541
25,Bx42,3.75758,0.0,0.0,0.0,4.66667,4.26923,8.05263,7.21429,18.3,11.5789,4.44444,15.7222,19.2273,9.94444,29.1538,15.8421,19.7,21.4737,21.6071,10.8649,8.97059,6.625,0.0,4.0,12.7216
26,Bx15,7.21429,9.45455,12.7778,15.3548,13.65,4.8,14.4615,9.56,10.0345,22.2,17.4444,29.9259,21.7143,28.3421,41.8108,28.8333,26.26,30.2258,38.8302,21.3939,29.3438,11.0,0.0,0.0,22.4171
27,Bx12,0.0,0.0,0.0,0.0,0.0,1.0,17.5556,20.8667,15.7692,6.46154,1.0,11.0,7.85714,12.3333,17.3043,10.4286,12.7143,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5
28,Bx41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5556,0.0,0.0,10.5556
29,Bx9,7.42308,3.68421,1.0,0.0,5.8,7.18182,15.6757,14.7692,11.875,13.7059,11.0588,13.2778,33.8889,27.5946,20.3488,29.0,23.4643,25.7763,17.4333,9.36364,12.2241,5.525,7.66667,11.7,16.3201
30,Bx4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125,3.0,0.0,10.9412,6.6,6.77778,5.64286,7.46667,3.0,29.5,28.0588,29.9286,30.3333,26.1667,30.3333,0.0,0.0,16.7222
31,Bx4,5.38667,4.64844,4.93452,4.08824,4.93506,5.45714,5.03125,0.0,11.9231,14.9286,3.0,8.53846,9.9,5.0,0.0,23.6471,18.6364,0.0,42.4,38.125,29.8333,0.0,31.1111,29.125,7.53846
32,Q59,2.5082,3.12162,3.96104,3.35514,2.75177,4.0,6.65568,9.04012,8.0,8.08993,8.77972,8.29874,8.34722,8.22959,10.6483,8.8687,8.721,9.69406,7.04384,6.53099,6.61538,5.11194,5.94231,4.64341,7.64938
33,SIM22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,SIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,X68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,X63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,X64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,SIM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,B16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,X37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,X28,2.52174,0.0,0.0,0.0,0.0,0.0,6.62,4.37168,4.17391,3.975,2.72093,2.77451,2.91525,4.18391,2.77451,4.08075,3.66013,4.43548,4.57542,2.93082,2.73494,2.79167,2.08333,1.75,3.70917
42,B4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,SIM30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,X38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,X27,5.57895,1.33333,0.0,0.0,0.0,0.0,4.26923,3.625,4.29358,6.0,5.20144,3.43846,4.06618,4.08511,3.7,3.68212,3.80702,5.39157,5.12338,5.86928,4.51456,2.49254,4.39394,2.5,4.3981
46,SIM15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,B8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
