id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_avg
1,M3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,B1,2.52941,1.85714,0.0,0.0,0.0,0.0,0.0,15.625,15.6957,9.67647,11.9,14.3902,12.9726,12.6916,13.0253,13.7288,15.3271,14.8541,13.0273,10.5985,8.9845,7.13014,4.02597,4.66667,12.3895
3,BxM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57143,2.0,3.14286,8.09091,5.82143
4,SIM10,0.0,0.0,0.0,0.0,7.12105,10.3272,8.86034,6.61088,7.15521,5.40541,0.0,0.0,0.0,0.0,11.3268,10.168,8.69704,8.18533,6.50887,5.43341,1.6,0.0,0.0,0.0,8.17859
5,B44,7.90469,5.03,3.73965,4.14,5.71654,7.22482,9.60448,11.0913,12.1258,9.35445,9.77632,9.83432,10.3373,12.1019,14.0785,13.1276,13.2779,11.8941,9.5191,8.99862,8.21134,6.63894,7.40455,7.43857,9.98797
6,Q12,4.54167,0.0,0.0,0.0,3.0,10.1667,10.0,11.875,12.9348,10.2034,8.21053,5.475,7.60274,9.43333,11.8391,11.3793,14.0,9.58889,8.88095,9.3983,7.4812,7.3027,8.45912,8.22727,9.13011
7,Bx5,0.0,0.0,0.0,0.0,0.0,15.7857,12.65,11.1176,13.2759,12.1111,10.8372,14.0465,18.2222,19.0476,17.3243,25.3875,21.1791,23.6061,19.1449,10.4769,14.7647,11.5,10.8889,0.0,17.13
8,M1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Bx21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,QM24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
