id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
1,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B1,17,14,0,0,0,0,0,8,23,136,130,164,219,227,277,413,483,377,293,269,258,146,77,48,3579
3,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,11,28
4,SIM10,0,0,0,0,190,706,895,717,451,111,0,0,0,0,254,744,812,750,902,413,15,0,0,0,6960
5,B44,640,600,507,450,508,556,938,1205,1089,1168,1140,1183,1177,1384,1567,1896,1745,1397,1518,1454,1287,1130,880,757,26176
6,Q12,24,0,0,0,5,12,23,24,46,59,38,40,73,90,87,58,77,90,84,118,133,185,159,66,1491
7,Bx5,0,0,0,0,0,14,20,17,29,18,43,43,36,42,74,80,67,66,69,65,34,34,18,0,769
8,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Q8,0,0,0,0,0,7,49,47,46,24,38,26,25,24,8,0,0,0,7,16,20,12,0,0,349
13,Q47,89,9,0,0,0,188,376,487,456,372,302,325,384,460,572,719,587,591,613,545,349,312,187,151,8074
14,Bx6-SBS,0,0,0,0,0,251,1303,1390,1278,1409,1194,1189,1324,1470,1768,2051,1767,1596,1823,1877,1670,821,73,0,24254
15,Bx36,450,325,200,173,165,423,950,1490,1510,1482,1183,1083,1166,1438,1817,2408,2413,1966,1929,1510,1088,815,661,529,27174
16,Bx6,300,224,51,122,247,375,524,775,749,676,530,582,660,761,841,953,887,790,841,787,640,456,409,339,13519
17,Bx35,277,140,91,79,106,203,397,598,583,590,552,574,632,725,858,1030,1040,897,773,713,539,461,402,342,12602
18,B35,1093,609,375,315,481,936,1600,2971,3204,3155,3154,3143,3375,3921,4858,5825,5802,4919,5185,4476,3726,2940,2194,1482,69739
19,Bx19,450,247,277,293,359,503,799,1159,1178,1205,1101,1093,1229,1411,1654,1951,1969,1618,1517,1256,984,819,736,629,24437
20,Bx39,153,82,157,199,257,342,522,846,788,760,780,744,750,863,1073,1299,1181,985,1021,934,766,575,485,289,15851
21,Bx2,8,0,0,0,0,11,25,26,74,90,82,104,116,139,199,244,232,195,196,150,96,40,42,39,2108
22,Bx40,14,18,12,28,84,78,124,137,151,110,88,95,96,107,146,156,132,84,82,81,73,59,32,45,2032
23,Bx1,80,138,172,111,131,47,14,40,52,39,72,78,67,43,38,155,229,196,230,175,114,143,87,71,2522
24,Bx22,29,4,0,0,0,18,45,68,78,77,66,72,91,101,99,133,194,175,185,197,180,156,108,85,2161
25,Bx42,52,10,0,0,18,38,57,35,46,74,59,75,68,59,94,162,139,123,142,126,102,42,32,21,1574
26,Bx15,58,66,60,62,61,35,76,86,106,87,78,76,78,71,105,190,274,237,260,203,155,78,76,76,2654
27,Bx12,0,0,0,0,0,2,18,22,36,31,11,3,14,12,38,39,26,2,0,0,0,0,0,0,254
28,Bx41,16,8,16,4,17,8,13,12,0,0,0,0,2,0,0,14,0,8,20,15,20,38,0,1,212
29,Bx9,26,19,3,0,10,36,69,104,86,73,92,107,101,119,170,395,449,404,421,278,182,132,117,46,3439
30,Bx4A,0,0,0,0,0,14,78,97,79,66,62,81,70,63,94,86,125,161,130,196,90,129,51,12,1684
31,Bx4,182,364,390,281,369,208,69,52,75,75,56,34,47,42,47,113,150,84,177,71,116,46,107,159,3314
32,Q59,285,216,206,278,385,555,1032,1296,1107,934,891,875,983,1063,1354,1860,2032,1886,1827,1375,927,703,573,412,23055
33,SIM22,0,0,0,0,0,100,225,274,151,92,9,0,0,0,0,103,221,262,173,140,18,0,0,0,1768
34,SIM3,0,0,0,0,0,152,330,277,214,179,48,0,0,5,3,198,363,348,265,70,0,0,0,0,2452
35,X68,0,0,0,0,0,0,140,282,234,118,15,0,0,0,0,0,175,274,263,154,49,1,0,0,1705
36,X63,0,0,0,0,0,19,168,327,235,105,0,0,0,0,0,5,129,416,478,284,53,0,0,0,2219
37,X64,0,0,0,0,0,9,78,152,176,40,0,0,0,0,0,0,79,26,125,123,1,0,0,0,809
38,SIM4,0,0,0,0,0,136,319,486,377,103,13,0,0,0,0,3,198,460,328,90,4,0,0,0,2517
39,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,X37,0,0,0,0,0,0,140,397,352,91,0,0,0,0,0,15,203,377,408,243,9,0,0,0,2235
41,X28,44,1,0,0,0,176,546,621,439,382,265,256,319,290,416,578,618,663,620,643,354,164,88,66,7549
42,B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SIM30,0,0,0,0,0,143,393,442,198,33,0,0,0,0,0,6,264,541,489,226,14,0,0,0,2749
44,X38,0,0,0,0,0,0,201,451,293,63,0,0,0,0,0,50,263,415,441,109,0,0,0,0,2286
45,X27,44,10,0,0,0,117,286,387,478,448,428,420,404,415,549,516,441,538,492,524,378,215,182,128,7400
46,SIM15,0,0,0,0,1,150,368,532,393,237,19,0,0,0,0,148,356,476,434,177,20,0,0,0,3311
47,B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,SIM26,0,0,0,0,32,238,330,223,155,90,0,0,0,0,70,182,247,234,174,95,68,14,0,0,2152
51,SIM8X,0,0,0,0,0,0,57,59,43,6,0,0,0,0,0,0,111,124,126,57,10,0,0,0,593
52,B70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SIM25,0,0,0,0,51,250,259,283,176,66,2,0,0,0,0,68,227,251,290,167,75,4,0,0,2169
54,SIM1,0,0,0,0,0,350,759,776,577,85,0,0,0,0,11,461,952,964,853,455,23,0,0,0,6266
55,SIM9,0,0,0,0,0,130,205,227,159,44,0,0,0,0,14,199,216,194,213,113,24,0,0,0,1738
56,B43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
