id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
1,B1,2,5,0,0,0,0,0,0,21,25,30,38,35,38,33,45,53,48,33,39,30,21,6,12,53
2,B100,6,4,0,0,0,19,19,22,37,31,15,14,21,21,27,24,28,37,26,23,20,9,7,7,37
3,B103,33,22,14,0,1,41,37,36,49,45,49,40,46,45,48,45,45,43,52,40,33,41,29,27,52
4,B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B12,15,17,24,10,19,29,44,52,49,51,51,48,51,47,51,49,57,52,48,52,38,25,28,25,57
6,B13,13,10,3,0,7,20,33,27,43,24,23,28,49,50,44,46,34,40,34,42,31,22,19,15,50
7,B14,17,7,7,4,7,13,17,30,30,28,40,38,48,39,35,37,33,32,31,24,19,23,26,14,48
8,B15,63,52,54,54,23,32,43,40,45,48,42,49,44,50,49,60,69,50,46,48,46,36,30,31,69
9,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,B17,39,9,7,9,23,31,32,33,35,36,27,28,30,37,45,46,44,52,44,32,30,21,17,16,52
11,B2,4,1,0,0,4,24,15,19,17,22,17,17,32,20,22,20,21,32,27,19,12,13,19,9,32
12,B20,34,38,36,0,3,23,24,28,46,43,28,27,33,37,37,38,44,54,29,27,19,21,20,21,54
13,B24,13,9,0,0,0,20,26,24,25,19,19,12,20,25,19,26,38,34,29,21,15,16,19,16,38
14,B25,36,32,40,10,31,12,22,30,27,27,31,41,37,40,36,40,45,43,41,26,23,19,19,16,45
15,B26,16,9,7,9,28,29,28,27,42,33,29,31,30,28,32,41,42,46,35,33,26,19,14,23,46
16,B3,48,7,3,5,15,24,42,55,39,46,65,47,47,45,45,45,59,60,52,43,27,28,33,23,65
17,B31,7,5,0,0,12,24,24,22,24,26,14,14,16,16,26,23,26,28,24,20,15,9,7,6,28
18,B32,0,0,0,0,0,0,0,10,11,8,7,7,8,9,10,14,17,11,13,6,7,8,0,0,17
19,B35,25,23,23,12,24,46,68,65,65,64,57,61,70,87,76,92,76,82,69,70,50,44,31,29,92
20,B36,18,7,15,7,23,20,30,42,39,35,39,39,39,42,54,55,41,46,49,41,25,35,16,17,55
21,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,B39,0,0,0,0,0,0,0,4,5,9,8,16,16,9,12,11,12,11,5,4,5,2,0,0,16
24,B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,B41,40,41,20,14,42,40,34,31,36,27,32,33,45,52,44,49,54,48,45,39,33,31,30,39,54
26,B42,18,12,6,13,25,41,41,32,29,30,38,28,23,42,42,35,38,42,43,36,29,19,26,19,43
27,B43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,B44,30,17,9,12,28,30,36,36,53,34,31,38,38,44,47,47,45,55,46,29,44,37,33,30,55
29,B44-SBS,7,0,0,0,0,17,43,65,68,46,50,45,50,69,63,74,74,74,66,60,35,32,31,22,74
30,B45,8,6,0,0,0,11,16,18,32,32,24,20,31,39,37,37,35,38,37,28,24,14,14,10,39
31,B46,38,25,23,26,38,41,37,37,42,41,39,45,36,42,47,45,52,40,48,41,30,25,38,39,52
32,B46-SBS,27,0,0,0,0,47,74,67,64,58,56,56,63,70,79,78,94,83,86,55,62,59,48,26,94
33,B47,12,10,10,7,18,26,34,41,36,36,38,44,48,49,43,52,60,61,41,39,33,31,37,21,61
34,B48,8,6,3,4,6,12,16,24,17,14,13,15,15,20,18,22,34,23,20,13,9,9,9,10,34
35,B49,10,9,7,0,9,21,19,26,47,40,19,24,35,34,29,28,34,36,27,18,17,14,10,9,47
36,B52,40,14,12,10,15,24,36,39,58,84,73,45,53,60,94,104,104,108,58,70,66,32,22,22,108
37,B54,15,7,7,8,11,15,28,42,55,47,31,32,39,37,39,54,48,60,42,27,33,18,15,20,60
38,B57,12,9,0,0,12,30,30,35,37,34,28,26,28,30,38,37,54,49,54,27,34,17,19,11,54
39,B6,46,19,12,19,48,65,54,50,44,42,35,39,40,50,55,48,50,57,49,35,33,32,30,28,65
40,B60,11,16,27,16,17,21,24,35,32,38,40,35,35,34,54,46,44,48,36,34,23,24,19,21,54
41,B61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,B62,18,9,17,17,18,19,36,30,23,23,19,22,29,28,29,30,43,34,28,15,19,17,18,22,43
43,B63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,B64,4,4,2,0,3,15,19,26,34,39,21,22,20,23,32,29,29,38,45,23,26,13,15,12,45
45,B65,5,5,0,0,15,15,19,22,24,18,15,19,27,28,34,25,39,25,29,22,12,16,8,9,39
46,B67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,B7,12,17,13,0,9,13,23,21,37,26,24,33,34,36,28,38,44,53,29,21,17,18,13,9,53
50,B70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,B74,0,0,0,0,0,22,25,26,23,34,21,30,34,26,33,37,41,39,38,36,26,17,12,8,41
52,B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,B82,38,36,17,17,17,32,24,39,53,44,30,35,35,47,46,45,47,58,55,34,31,24,24,24,58
54,B82-SBS,0,0,0,0,12,26,42,60,68,64,32,32,33,38,42,45,52,58,42,43,33,23,22,16,68
55,B83,20,6,0,0,4,21,26,33,40,27,43,44,51,38,48,53,62,47,43,27,22,32,30,28,62
56,B84,0,0,0,0,0,8,12,9,10,6,4,9,5,11,8,19,14,14,14,8,7,8,0,0,19
57,B9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,30,12,0,0,0,0,0,0,30
58,B99,0,33,27,27,39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
59,BM1,0,0,0,0,0,0,3,13,14,7,3,1,3,1,0,17,17,14,15,14,5,4,2,3,17
60,BM2,0,0,0,0,0,0,0,0,0,0,0,0,10,9,6,14,13,15,13,11,6,7,6,0,15
61,BM3,4,0,0,0,0,19,23,11,12,8,8,0,0,1,2,0,3,16,11,6,2,0,0,1,23
62,BM4,0,0,0,0,0,0,19,13,9,5,2,1,5,4,4,19,12,6,9,11,0,0,0,0,19
63,BM5,4,0,0,0,0,17,21,16,7,15,4,6,3,0,2,8,2,18,16,18,1,0,4,5,21
64,Bx1,14,21,23,27,33,25,24,26,31,55,49,43,42,36,32,64,90,86,58,56,34,30,30,26,90
65,Bx10,19,14,2,2,8,25,36,44,41,37,36,47,36,47,45,39,44,45,44,38,30,22,27,23,47
66,Bx11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Bx12,0,0,0,0,0,0,0,32,31,14,24,0,0,0,25,23,23,0,0,0,0,0,0,0,32
68,Bx12-SBS,0,0,0,0,0,37,66,73,78,63,66,70,91,91,89,83,88,88,88,73,91,53,47,30,91
69,Bx13,40,9,0,0,2,36,42,41,35,44,51,50,50,56,60,55,67,70,53,63,51,43,32,31,70
70,Bx15,31,24,17,15,17,20,42,38,34,36,40,60,32,32,49,43,37,67,83,45,49,38,28,32,83
71,Bx16,14,10,0,0,0,32,28,31,28,26,24,25,33,44,49,47,42,55,38,37,24,24,17,18,55
72,Bx17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Bx18,0,0,0,0,0,2,14,25,28,21,27,15,23,32,30,41,26,35,33,26,20,10,11,0,41
74,Bx19,31,29,46,51,56,44,47,78,99,107,66,64,76,80,81,93,80,73,90,71,40,50,47,66,107
75,Bx2,14,0,0,0,0,8,11,23,46,36,34,38,58,59,68,62,51,43,39,37,30,25,22,13,68
76,Bx20,0,0,0,0,0,0,4,14,19,10,0,0,0,0,0,21,23,21,22,19,10,0,0,0,23
77,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Bx22,13,4,0,0,0,31,28,23,30,33,58,58,43,45,48,105,101,52,57,36,29,36,52,57,105
79,Bx23,0,0,0,0,0,13,15,16,16,6,6,12,14,12,17,16,10,26,20,11,9,8,6,6,26
80,Bx24,6,2,1,1,2,7,6,10,13,7,10,10,13,9,10,16,13,14,7,6,4,10,5,5,16
81,Bx26,0,0,0,0,0,16,27,37,35,27,30,24,31,29,34,41,46,40,46,39,25,20,23,14,46
82,Bx27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Bx28,21,12,12,8,18,32,38,29,35,39,32,36,37,43,42,42,48,53,52,33,23,24,21,34,53
84,Bx29,13,1,0,0,10,18,19,14,17,24,20,22,23,24,31,33,32,27,20,17,13,17,30,18,33
85,Bx3,29,12,0,0,0,25,43,39,49,42,47,48,49,46,60,62,59,59,65,51,53,33,44,35,65
86,Bx30,10,1,0,0,0,20,29,38,35,36,34,40,42,47,47,46,51,51,44,33,25,22,26,23,51
87,Bx31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Bx32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Bx33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Bx34,11,4,0,0,0,28,21,23,27,23,26,23,29,29,37,34,29,29,24,24,15,9,10,12,37
91,Bx35,22,11,7,7,28,41,45,63,58,56,54,53,61,71,66,53,69,73,93,97,42,32,30,32,97
92,Bx36,56,45,37,9,18,36,48,58,78,57,60,88,94,106,82,70,79,80,70,76,62,48,33,45,106
93,Bx38,0,0,0,0,0,20,32,33,42,43,31,34,36,37,41,41,48,52,39,40,35,27,21,6,52
94,Bx39,20,12,13,9,23,25,31,34,34,40,50,43,61,71,85,86,99,56,51,54,43,38,28,24,99
95,Bx4,30,25,11,14,17,25,32,25,48,35,35,28,31,36,35,31,60,57,43,36,67,29,25,26,67
96,Bx40,3,0,0,4,16,32,24,69,52,47,48,39,43,28,49,50,57,42,38,36,30,23,32,17,69
97,Bx41,10,14,17,14,17,8,19,18,0,0,0,0,11,0,0,28,0,15,22,22,19,18,0,5,28
98,Bx41-SBS,0,0,0,0,0,16,50,71,78,50,47,46,43,59,82,68,76,77,66,50,51,33,18,0,82
99,Bx42,15,12,0,0,0,17,25,31,42,53,39,26,29,33,36,32,59,44,44,37,29,18,23,10,59
100,Bx46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Bx4A,0,0,0,0,0,15,25,26,35,55,35,30,30,67,65,45,57,58,45,31,33,18,13,22,67
102,Bx5,0,0,0,0,0,38,22,37,36,24,28,35,39,36,41,80,58,64,63,35,32,24,31,0,80
103,Bx6,44,23,44,49,70,69,49,40,59,47,51,47,49,71,66,76,84,86,81,69,46,86,64,61,86
104,Bx6-SBS,0,0,0,0,0,57,63,64,61,64,43,47,51,65,71,80,96,98,85,66,41,40,25,0,98
105,Bx7,12,7,0,0,2,24,41,51,41,57,42,43,47,57,58,60,45,47,39,35,25,21,18,16,60
106,Bx8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Bx9,0,0,0,0,0,5,23,38,40,26,49,57,50,52,63,53,71,63,70,38,44,47,55,21,71
108,Bx99,0,45,38,54,47,36,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
109,BxM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,BxM10,0,0,0,0,0,0,18,11,0,7,6,0,6,4,6,6,5,13,0,0,0,0,0,0,18
111,BxM11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,BxM18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,BxM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,BxM3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,BxM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,BxM7,0,0,0,0,0,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
118,BxM8,0,0,0,0,0,0,0,13,12,0,0,8,7,0,0,0,0,0,0,4,0,0,0,0,13
119,BxM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,3,2,0,0,0,0,15
120,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,M10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,M100,41,16,0,0,9,13,20,31,34,32,34,39,74,72,77,67,87,79,80,81,77,28,22,15,87
123,M101,15,14,6,0,7,17,29,26,36,25,37,43,40,55,45,61,58,55,40,34,36,22,27,19,61
124,M102,14,11,13,11,11,11,14,21,23,23,36,24,36,34,39,44,37,34,36,24,22,19,18,7,44
125,M103,5,0,0,0,0,7,16,20,16,12,21,23,25,30,31,27,23,28,26,13,10,10,11,12,31
126,M104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,M106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,M11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,0,0,0,0,20
129,M116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,M12,0,0,0,0,0,0,0,7,7,7,8,9,10,9,7,9,12,10,8,7,6,7,3,0,12
131,M14A-SBS,39,7,5,6,8,23,22,26,40,41,34,44,48,51,47,51,51,48,45,30,30,14,16,16,51
132,M14D-SBS,27,20,9,12,22,34,45,43,47,55,55,55,59,60,62,74,66,68,61,55,50,39,33,25,74
133,M15,13,20,19,24,26,41,32,19,21,14,24,23,22,25,31,27,43,31,21,19,16,16,15,23,43
134,M15-SBS,35,0,0,0,22,25,79,57,61,63,57,60,59,66,61,71,69,65,51,52,44,34,36,32,79
135,M2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,M20,2,1,0,0,0,0,0,5,5,6,5,10,11,11,13,10,14,11,15,10,9,3,4,4,15
137,M21,0,0,0,0,0,0,0,0,0,0,0,4,6,7,11,4,2,12,7,2,0,0,0,0,12
138,M22,0,0,0,0,0,5,5,9,11,15,8,16,12,10,15,19,13,15,12,3,2,0,0,3,19
139,M23-SBS,13,2,3,2,4,11,39,38,54,45,31,31,43,42,41,66,62,41,41,30,20,23,15,22,66
140,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,M31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,M34-SBS,23,2,0,0,0,29,49,59,56,41,24,34,38,46,47,48,42,60,34,27,32,19,27,36,60
143,M34A-SBS,11,5,0,0,0,29,70,59,46,34,32,36,31,36,50,69,66,67,51,34,30,28,24,37,70
144,M35,42,0,0,0,0,0,0,0,0,0,0,0,24,23,14,34,34,22,42,39,43,31,16,16,43
145,M4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,M42,13,15,7,6,12,19,40,29,22,19,15,21,14,25,29,28,33,30,23,20,14,19,24,17,40
147,M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,M50,5,2,0,0,1,4,11,16,12,10,16,12,12,16,11,24,15,15,12,9,8,11,8,10,24
149,M55,6,4,0,0,0,0,0,5,7,11,7,7,17,15,11,16,8,9,6,5,4,3,4,3,17
150,M57,7,5,0,0,0,0,0,18,17,16,18,18,14,17,33,29,36,27,27,17,14,14,11,7,36
151,M60-SBS,10,0,0,0,0,1,63,48,35,25,33,42,43,35,51,46,39,40,29,30,27,31,23,26,63
152,M66,13,2,0,0,2,26,37,39,30,26,23,20,24,22,38,43,43,27,27,19,13,11,13,20,43
153,M7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,M72,4,0,0,0,0,9,16,20,28,25,23,24,24,21,26,28,38,29,24,24,11,7,9,15,38
155,M79-SBS,16,2,3,3,4,9,34,51,34,29,22,25,28,33,35,41,39,38,37,24,18,12,13,16,51
156,M8,1,2,0,0,0,2,5,4,9,5,6,6,5,7,11,9,9,13,6,5,4,4,2,2,13
157,M86-SBS,8,4,1,2,3,14,28,39,46,40,38,40,35,41,59,55,53,51,43,32,25,24,19,21,59
158,M9,0,0,0,0,0,0,1,13,18,24,25,28,29,18,22,26,16,33,22,15,9,9,7,3,33
159,M96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,M98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,M99,0,20,21,27,28,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
162,Q1,12,12,3,7,10,6,15,21,22,18,19,17,17,19,19,20,25,26,25,22,17,11,12,14,26
163,Q10,18,15,10,11,39,41,65,59,55,44,46,54,50,43,58,53,54,62,56,49,37,33,35,27,65
164,Q100,3,0,0,4,2,9,24,28,23,16,16,13,20,23,29,34,30,27,12,17,15,16,15,16,34
165,Q101,5,0,0,0,0,13,27,27,27,11,11,20,29,18,26,42,36,26,36,20,15,14,10,13,42
166,Q102,20,22,3,5,7,14,9,16,16,20,20,12,16,16,16,22,18,21,19,10,20,12,11,12,22
167,Q103,0,0,0,0,0,10,21,24,16,7,1,4,9,10,18,18,20,21,15,13,10,9,0,0,24
168,Q104,0,0,0,0,0,0,11,17,13,12,16,20,19,25,24,27,24,19,17,11,11,7,9,4,27
169,Q11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Q110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Q111,0,9,6,7,9,23,33,52,57,38,38,23,20,26,43,66,56,43,39,43,5,0,31,26,66
172,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Q113,0,0,0,0,0,0,9,9,0,0,0,0,28,29,24,30,34,35,33,38,13,0,0,0,38
174,Q114,0,20,11,9,11,37,8,0,39,25,13,28,20,37,41,40,34,44,38,42,39,16,20,0,44
175,Q12,12,0,0,0,7,20,20,25,29,21,19,11,21,23,29,20,33,33,33,30,22,17,27,36,36
176,Q13,9,7,3,0,5,20,20,28,33,33,32,31,36,37,28,34,40,47,35,37,25,30,39,21,47
177,Q15,2,0,0,0,0,31,23,29,26,17,19,22,19,21,19,27,30,23,25,24,24,16,10,6,31
178,Q15A,2,0,0,0,0,23,34,33,22,22,21,17,20,24,21,21,25,29,27,39,25,17,9,5,39
179,Q16,4,4,0,0,10,16,17,25,26,24,19,17,21,17,19,25,20,23,20,16,11,19,10,9,26
180,Q17,18,7,5,4,11,30,33,28,34,36,34,32,32,30,42,38,39,44,47,34,38,27,25,28,47
181,Q18,8,3,0,0,9,38,47,50,39,21,22,33,31,30,37,36,52,61,31,31,35,20,21,13,61
182,Q19,0,0,0,0,0,11,25,55,34,25,23,24,22,25,26,31,45,34,27,20,15,12,0,0,55
183,Q2,15,13,4,5,4,34,31,27,22,27,22,25,27,33,38,35,31,39,40,30,19,22,20,16,40
184,Q20A,14,9,5,5,7,14,26,23,30,26,25,38,31,31,30,36,36,31,29,27,19,24,14,14,38
185,Q20B,0,0,0,0,0,10,20,21,27,25,41,30,27,29,32,31,28,39,38,26,16,16,12,7,41
186,Q21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Q22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Q23,57,49,48,0,19,42,42,55,40,35,34,28,29,47,40,43,50,48,49,47,56,24,36,25,57
189,Q24,109,16,19,47,31,29,34,35,44,27,24,29,27,31,38,37,41,37,45,37,28,24,13,18,109
190,Q25,11,16,8,48,59,70,88,83,94,96,88,30,37,35,46,46,35,48,47,31,28,27,26,22,96
191,Q26,0,0,0,0,0,13,14,16,11,13,0,0,0,0,0,11,10,12,12,6,4,0,0,0,16
192,Q27,22,13,5,7,18,31,37,30,26,38,40,29,28,31,33,35,35,41,35,32,36,33,25,24,41
193,Q28,9,5,2,4,14,30,32,29,30,26,36,28,29,32,33,35,39,40,35,31,29,21,28,16,40
194,Q29,0,0,0,0,4,20,24,22,22,21,21,26,35,42,48,39,33,37,38,34,30,11,14,15,48
195,Q3,27,29,23,21,40,33,31,53,31,27,28,26,29,36,33,34,37,42,36,27,39,32,30,25,53
196,Q30,9,3,0,0,0,14,21,25,23,17,14,23,14,19,23,26,27,37,33,13,13,10,10,8,37
197,Q31,4,0,0,0,0,12,15,21,24,22,17,17,15,19,20,21,26,36,29,18,22,18,15,8,36
198,Q32,15,43,39,40,43,24,25,41,35,24,25,27,27,29,34,36,36,40,36,33,18,23,17,18,43
199,Q33,21,7,5,5,24,51,45,37,39,25,37,25,36,28,38,43,38,51,43,41,28,20,32,26,51
200,Q34,0,0,0,0,0,17,19,34,30,31,24,19,29,31,33,33,19,18,20,20,25,18,16,8,34
201,Q35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Q36,13,7,7,4,12,29,21,21,29,25,17,18,29,31,27,24,32,35,33,20,13,13,15,19,35
203,Q37,0,0,0,0,0,0,0,0,0,0,14,31,17,18,20,38,23,37,35,27,0,0,0,0,38
204,Q38,8,0,0,0,0,21,33,33,18,23,21,21,41,50,25,31,43,38,32,33,29,25,11,13,50
205,Q39,13,5,16,6,11,24,31,25,32,22,20,17,15,19,24,23,23,26,22,15,25,10,13,11,32
206,Q4,35,19,11,10,28,31,32,34,27,30,31,31,36,38,34,39,33,33,33,27,32,42,30,20,42
207,Q40,11,6,7,0,0,0,0,0,22,11,0,0,0,0,0,0,7,34,22,0,0,0,10,3,34
208,Q41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Q42,0,0,0,0,0,23,21,16,16,16,14,13,14,15,15,15,19,24,13,14,7,0,0,0,24
210,Q43,18,12,11,13,38,31,29,38,35,31,29,29,27,35,43,42,38,39,42,34,26,29,19,21,43
211,Q44-SBS,0,0,0,0,0,0,0,0,16,21,33,30,19,22,20,36,24,0,0,0,0,0,0,0,36
212,Q46,107,9,6,6,8,20,31,28,30,32,29,26,27,27,36,38,41,44,30,30,28,23,17,19,107
213,Q47,14,4,0,0,0,34,33,31,29,35,29,23,24,36,39,32,30,35,27,42,27,19,12,29,42
214,Q48,13,9,3,0,8,26,20,16,29,29,12,32,21,18,28,21,34,30,23,23,24,9,15,11,34
215,Q49,10,0,0,0,15,34,46,43,37,42,42,32,30,31,31,40,49,38,38,23,40,27,28,30,49
216,Q5,23,18,8,11,26,33,31,34,37,37,38,35,43,42,43,36,45,40,44,36,31,40,33,38,45
217,Q50,6,12,2,0,4,25,28,35,29,26,20,12,17,29,31,30,37,38,35,33,13,16,15,4,38
218,Q52-SBS,15,9,0,0,0,28,59,88,84,42,45,32,28,53,61,55,67,62,68,60,43,36,55,29,88
219,Q53-SBS,35,51,23,21,44,59,63,67,68,67,55,60,72,70,89,80,86,76,79,58,66,55,58,49,89
220,Q54,31,31,33,15,22,36,43,43,43,32,28,32,31,38,39,38,53,45,45,34,35,24,23,18,53
221,Q55,13,7,7,5,17,35,36,46,45,26,31,27,24,37,40,38,44,44,49,40,30,82,16,21,82
222,Q56,80,84,9,21,27,28,37,37,35,31,34,34,33,33,38,45,41,40,31,37,28,14,12,9,84
223,Q58,27,18,20,18,26,55,54,57,46,45,39,36,39,48,48,70,67,57,58,55,40,34,41,33,70
224,Q59,10,10,14,15,16,31,43,49,39,29,36,26,35,38,42,38,48,51,35,33,28,29,19,18,51
225,Q6,21,0,0,0,0,2,39,14,21,0,0,0,0,0,0,44,47,46,39,37,31,27,20,31,47
226,Q60,10,13,23,26,48,45,16,0,15,17,15,23,25,35,29,30,28,14,27,17,23,9,8,6,48
