id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total_count
1,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B1,8,4,0,0,0,0,0,8,6,0,13,36,96,96,144,191,186,180,169,144,127,67,31,23,1529
3,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,11,28
4,SIM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B44,281,315,266,188,180,141,239,301,267,235,252,267,313,305,382,485,530,501,511,514,462,364,310,293,7902
6,Q12,12,0,0,0,0,0,0,4,12,13,12,6,31,41,52,16,33,31,29,26,22,17,0,0,357
7,Bx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Q8,0,0,0,0,0,0,8,11,19,19,19,9,0,0,0,0,0,0,7,16,20,12,0,0,140
13,Q47,55,2,0,0,0,0,8,67,67,66,100,104,102,129,135,172,138,136,88,96,64,42,56,53,1680
14,Bx6-SBS,0,0,0,0,0,45,386,470,418,398,417,431,449,449,495,533,514,556,562,527,485,255,31,0,7421
15,Bx36,144,140,127,115,98,177,309,431,375,324,324,332,355,350,453,517,506,457,386,362,328,266,186,125,7187
16,Bx6,90,72,0,5,31,91,144,246,260,225,239,257,282,293,294,301,274,287,249,257,249,146,119,84,4495
17,Bx35,137,69,41,33,31,25,98,188,176,157,198,200,188,195,206,236,229,220,190,210,156,124,76,93,3476
18,B35,442,289,210,138,218,435,556,838,843,827,894,925,997,1234,1467,1749,1659,1559,1362,1181,1072,869,599,428,20791
19,Bx19,234,140,110,109,164,223,276,406,439,377,389,419,418,452,527,625,618,538,478,389,342,276,198,145,8292
20,Bx39,82,14,30,48,48,114,84,173,180,240,300,270,281,281,269,317,329,345,346,290,225,174,101,79,4620
21,Bx2,0,0,0,0,0,0,0,0,0,9,32,28,16,17,19,19,18,33,28,17,16,19,13,18,302
22,Bx40,12,18,12,19,34,11,15,40,45,18,17,19,14,12,21,26,35,38,29,20,16,21,19,32,543
23,Bx1,25,40,72,46,34,21,0,15,16,10,15,24,15,9,7,15,20,19,19,29,7,0,0,1,459
24,Bx22,0,0,0,0,0,0,0,7,14,21,30,41,50,56,44,45,43,46,51,41,37,28,1,0,555
25,Bx42,33,0,0,0,18,26,38,14,20,19,9,18,22,18,26,19,20,19,28,37,34,8,0,5,431
26,Bx15,14,33,18,31,40,15,39,25,29,20,18,27,35,38,37,24,50,31,53,33,32,3,0,0,645
27,Bx12,0,0,0,0,0,2,18,15,13,13,1,3,14,12,23,14,14,2,0,0,0,0,0,0,144
28,Bx41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9
29,Bx9,26,19,3,0,10,33,37,39,24,17,17,18,18,37,43,49,56,76,60,55,58,40,36,10,781
30,Bx4A,0,0,0,0,0,0,0,16,3,0,17,5,9,14,15,2,2,17,14,12,6,12,0,0,144
31,Bx4,75,128,168,102,154,105,32,0,13,14,3,13,10,6,0,17,11,0,5,8,12,0,18,16,910
32,Q59,122,74,77,107,141,190,273,324,294,278,286,318,360,392,472,655,681,657,593,484,364,268,156,129,7695
33,SIM22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,X68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,X63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,X64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,SIM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,X37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
