id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,highest_val
1,B1,7,2,0,0,0,0,0,21,36,0,15,32,41,33,37,45,43,43,33,31,30,11,12,9,45
2,B100,3,0,0,0,0,2,7,15,25,15,18,16,13,15,24,19,19,24,23,18,11,4,4,0,25
3,B103,30,29,5,0,0,30,38,49,56,39,41,51,49,48,47,51,54,55,47,47,42,44,46,16,56
4,B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
5,B12,16,16,13,9,11,17,32,41,32,29,29,28,34,37,45,37,41,48,36,32,41,36,32,22,48
6,B13,11,7,3,0,10,12,18,24,31,28,33,40,37,42,54,45,43,37,34,40,37,23,27,15,54
7,B14,12,12,5,8,10,6,13,14,23,20,21,28,31,29,34,41,36,41,29,24,22,28,12,15,41
8,B15,29,27,31,27,18,22,31,37,41,36,34,36,46,46,55,60,69,47,38,42,42,45,32,42,69
9,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,B17,20,10,4,6,12,19,21,24,27,24,21,26,37,38,26,27,31,44,50,58,69,34,43,40,69
11,B2,7,0,0,0,0,6,5,10,9,9,16,15,13,21,23,28,25,21,21,17,14,11,1,9,28
12,B20,22,9,1,0,0,6,21,28,34,32,34,34,24,24,27,31,50,41,29,49,44,41,37,33,50
13,B24,11,4,0,0,0,11,24,20,19,15,12,15,12,19,16,13,16,20,15,18,16,11,12,9,24
14,B25,15,15,22,12,14,9,14,15,25,27,24,31,33,30,30,37,24,36,36,20,24,16,15,27,37
15,B26,23,13,16,12,10,14,17,16,18,25,26,31,38,38,32,44,44,38,45,67,17,18,22,26,67
16,B3,10,10,5,3,10,14,31,33,33,29,39,55,57,53,50,47,46,63,51,68,58,58,51,53,68
17,B31,8,6,0,0,0,7,6,11,12,8,9,9,11,13,14,18,14,16,12,9,10,9,9,7,18
18,B32,0,0,0,0,0,0,0,6,5,5,7,4,9,11,9,6,6,5,11,7,4,5,0,0,11
19,B35,32,24,19,14,26,25,35,61,45,44,46,52,54,65,67,72,63,79,68,64,62,35,35,31,79
20,B36,12,9,6,4,7,9,19,34,36,27,31,37,35,36,35,30,38,32,34,23,32,22,25,21,38
21,B37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,B38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
