id,published_line_ref,0_hour,1_hour,2_hour,3_hour,4_hour,5_hour,6_hour,7_hour,8_hour,9_hour,10_hour,11_hour,12_hour,13_hour,14_hour,15_hour,16_hour,17_hour,18_hour,19_hour,20_hour,21_hour,22_hour,23_hour,total
1,M3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,B1,33,6,0,0,0,0,0,125,181,0,112,521,1059,1329,1802,2629,2721,2668,2028,1232,1342,386,186,80,18440
3,BxM6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,6,22,89,163
4,SIM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,B44,1984,1689,1008,728,798,932,2482,3234,3006,2107,2523,2403,2952,3277,4516,5246,6029,4312,3795,4238,3875,2491,2561,2109,68295
6,Q12,42,0,0,0,0,0,0,13,147,95,88,56,209,538,449,365,469,282,153,137,155,190,0,0,3388
7,Bx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,M1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Bx21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,QM24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Q112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Q8,0,0,0,0,0,0,83,176,368,243,273,103,0,0,0,0,0,0,109,148,161,193,0,0,1857
13,Q47,253,3,0,0,0,0,55,473,505,610,882,815,903,819,1402,1229,1326,1147,1041,834,496,377,453,336,13959
14,Bx6-SBS,0,0,0,0,0,232,3411,4190,4090,3709,3328,4588,4925,5856,7305,8105,8739,8601,7617,6764,5128,2603,279,0,89470
15,Bx36,1124,1092,826,557,546,1272,3989,6489,6342,5572,5491,4012,6614,6823,8129,11970,11492,8897,7081,6804,5762,4382,3442,2617,121325
16,Bx6,734,455,0,7,135,951,1276,2041,2859,1962,2200,2561,3144,3294,4298,4905,3729,4112,3435,3278,2930,1300,1048,691,51345
17,Bx35,1004,365,212,108,116,118,893,2289,2577,1990,3178,3494,3219,3205,4291,4712,5466,4793,3703,3079,1853,1087,907,1021,53680
18,B35,3040,1207,994,520,1116,2683,5012,10065,11435,10160,12404,14480,17356,20794,23972,30059,30320,26453,18551,14684,12170,7756,4503,3310,283044
19,Bx19,2334,1295,1068,881,963,1909,3268,6238,6510,4932,5971,8250,7971,8946,10943,14578,13349,11023,7956,6583,5232,4064,2657,1622,138543
20,Bx39,574,79,240,295,318,963,861,2539,2670,2882,3670,3277,4008,4308,4845,5679,6764,6277,5182,3635,2028,1591,786,504,63975
21,Bx2,0,0,0,0,0,0,0,0,0,86,387,443,671,981,659,310,378,911,1034,276,159,88,66,99,6548
22,Bx40,59,55,26,46,81,93,153,357,692,426,141,345,241,102,395,638,463,473,464,346,168,243,75,401,6483
23,Bx1,157,189,486,140,216,151,0,268,337,246,273,820,287,119,298,169,495,583,404,1038,159,0,0,4,6839
24,Bx22,0,0,0,0,0,0,0,61,90,326,377,473,1078,987,1121,971,1033,1625,1625,1454,1722,960,2,0,13905
25,Bx42,124,0,0,0,84,111,306,101,366,220,40,283,423,179,758,301,394,408,605,402,305,53,0,20,5483
26,Bx15,101,312,230,476,546,72,564,239,291,444,314,808,760,1077,1547,692,1313,937,2058,706,939,33,0,0,14459
27,Bx12,0,0,0,0,0,2,316,313,205,84,1,33,110,148,398,146,178,10,0,0,0,0,0,0,1944
28,Bx41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,95
29,Bx9,193,70,3,0,58,237,580,576,285,233,188,239,610,1021,875,1421,1314,1959,1046,515,709,221,276,117,12746
30,Bx4A,0,0,0,0,0,0,0,82,9,0,186,33,61,79,112,6,59,477,419,364,157,364,0,0,2408
31,Bx4,404,595,829,417,760,573,161,0,155,209,9,111,99,30,0,402,205,0,212,305,358,0,560,466,6860
32,Q59,306,231,305,359,388,760,1817,2929,2352,2249,2511,2639,3005,3226,5026,5809,5939,6369,4177,3161,2408,1370,927,599,58862
33,SIM22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SIM3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,X68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,X63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,X64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,SIM4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,B16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,X37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,X28,58,0,0,0,0,0,331,494,288,318,117,283,344,364,283,657,560,825,819,466,227,134,50,14,6632
42,B4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,SIM30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,X38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,X27,106,8,0,0,0,0,111,232,468,408,723,447,553,576,592,556,651,895,789,898,465,167,145,15,8805
46,SIM15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,B8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,B11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
49,B69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,SIM26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,SIM8X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,B70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,SIM25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,SIM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,SIM9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
