,Time,Borough,Passenger Count
0,23:59,Total,1106
1,23:59,Brooklyn,532
2,23:59,Bronx,129
3,23:59,Queens,253
4,23:59,Manhattan,34
5,23:59,Staten Island,68
6,23:59,Other,90
7,0:5,Total,1034
8,0:5,Brooklyn,435
9,0:5,Bronx,138
10,0:5,Queens,226
11,0:5,Manhattan,36
12,0:5,Staten Island,109
13,0:5,Other,90
14,0:10,Total,952
15,0:10,Brooklyn,439
16,0:10,Bronx,135
17,0:10,Queens,204
18,0:10,Manhattan,33
19,0:10,Staten Island,81
20,0:10,Other,60
21,0:15,Total,928
22,0:15,Brooklyn,408
23,0:15,Bronx,134
24,0:15,Queens,192
25,0:15,Manhattan,34
26,0:15,Staten Island,71
27,0:15,Other,89
28,0:20,Total,878
29,0:20,Brooklyn,373
30,0:20,Bronx,133
31,0:20,Queens,174
32,0:20,Manhattan,38
33,0:20,Staten Island,68
34,0:20,Other,92
35,0:24,Total,920
36,0:24,Brooklyn,422
37,0:24,Bronx,131
38,0:24,Queens,187
39,0:24,Manhattan,43
40,0:24,Staten Island,60
41,0:24,Other,77
42,0:30,Total,817
43,0:30,Brooklyn,354
44,0:30,Bronx,122
45,0:30,Queens,164
46,0:30,Manhattan,39
47,0:30,Staten Island,58
48,0:30,Other,80
49,0:35,Total,721
50,0:35,Brooklyn,297
51,0:35,Bronx,104
52,0:35,Queens,168
53,0:35,Manhattan,23
54,0:35,Staten Island,45
55,0:35,Other,84
56,0:40,Total,643
57,0:40,Brooklyn,285
58,0:40,Bronx,80
59,0:40,Queens,124
60,0:40,Manhattan,36
61,0:40,Staten Island,46
62,0:40,Other,72
63,0:44,Total,606
64,0:44,Brooklyn,250
65,0:44,Bronx,72
66,0:44,Queens,162
67,0:44,Manhattan,27
68,0:44,Staten Island,36
69,0:44,Other,59
70,0:49,Total,620
71,0:49,Brooklyn,298
72,0:49,Bronx,59
73,0:49,Queens,154
74,0:49,Manhattan,25
75,0:49,Staten Island,32
76,0:49,Other,52
77,0:54,Total,562
78,0:54,Brooklyn,275
79,0:54,Bronx,72
80,0:54,Queens,131
81,0:54,Manhattan,24
82,0:54,Staten Island,25
83,0:54,Other,35
84,1:0,Total,497
85,1:0,Brooklyn,224
86,1:0,Bronx,60
87,1:0,Queens,134
88,1:0,Manhattan,22
89,1:0,Staten Island,24
90,1:0,Other,33
91,1:4,Total,586
92,1:4,Brooklyn,218
93,1:4,Bronx,86
94,1:4,Queens,123
95,1:4,Manhattan,17
96,1:4,Staten Island,116
97,1:4,Other,26
98,1:9,Total,572
99,1:9,Brooklyn,204
100,1:9,Bronx,86
101,1:9,Queens,129
102,1:9,Manhattan,11
103,1:9,Staten Island,123
104,1:9,Other,19
105,1:14,Total,526
106,1:14,Brooklyn,203
107,1:14,Bronx,81
108,1:14,Queens,113
109,1:14,Manhattan,18
110,1:14,Staten Island,100
111,1:14,Other,11
112,1:20,Total,479
113,1:20,Brooklyn,187
114,1:20,Bronx,83
115,1:20,Queens,124
116,1:20,Manhattan,20
117,1:20,Staten Island,63
118,1:20,Other,2
119,1:24,Total,511
120,1:24,Brooklyn,194
121,1:24,Bronx,87
122,1:24,Queens,135
123,1:24,Manhattan,24
124,1:24,Staten Island,69
125,1:24,Other,2
126,1:30,Total,476
127,1:30,Brooklyn,189
128,1:30,Bronx,81
129,1:30,Queens,127
130,1:30,Manhattan,18
131,1:30,Staten Island,59
132,1:30,Other,2
133,1:35,Total,454
134,1:35,Brooklyn,168
135,1:35,Bronx,88
136,1:35,Queens,124
137,1:35,Manhattan,15
138,1:35,Staten Island,58
139,1:35,Other,1
140,1:40,Total,402
141,1:40,Brooklyn,139
142,1:40,Bronx,79
143,1:40,Queens,104
144,1:40,Manhattan,17
145,1:40,Staten Island,62
146,1:40,Other,1
147,1:44,Total,400
148,1:44,Brooklyn,142
149,1:44,Bronx,83
150,1:44,Queens,96
151,1:44,Manhattan,22
152,1:44,Staten Island,55
153,1:44,Other,2
154,1:49,Total,351
155,1:49,Brooklyn,123
156,1:49,Bronx,78
157,1:49,Queens,89
158,1:49,Manhattan,16
159,1:49,Staten Island,42
160,1:49,Other,3
161,1:55,Total,369
162,1:55,Brooklyn,116
163,1:55,Bronx,93
164,1:55,Queens,128
165,1:55,Manhattan,19
166,1:55,Staten Island,11
167,1:55,Other,2
168,2:0,Total,385
169,2:0,Brooklyn,136
170,2:0,Bronx,82
171,2:0,Queens,120
172,2:0,Manhattan,31
173,2:0,Staten Island,13
174,2:0,Other,3
175,2:4,Total,448
176,2:4,Brooklyn,145
177,2:4,Bronx,90
178,2:4,Queens,114
179,2:4,Manhattan,35
180,2:4,Staten Island,62
181,2:4,Other,2
182,2:10,Total,415
183,2:10,Brooklyn,135
184,2:10,Bronx,104
185,2:10,Queens,100
186,2:10,Manhattan,34
187,2:10,Staten Island,41
188,2:10,Other,1
189,2:15,Total,405
