,Published Line Ref,Averages
0,M4,2.261731946896561
1,M2,2.5060977933208233
2,Q77,3.420134534488926
3,M10,2.3218895753472597
4,Q30,3.688281036498504
5,Bx38,2.3341677575411306
6,B25,2.4234954165646214
7,Q56,2.8027024137573577
8,M3,2.259540612599008
9,Q85,3.2757306907765362
10,B45,2.31545787827647
11,Bx26,2.368591128057054
12,Q24,2.9526006607624597
13,Q3,3.5340737654269394
14,M5,2.7972431831449387
15,M11,2.2401005085413885
16,B15,3.1233911397634313
17,Q17,3.4147400302639417
18,B12,2.1280828706392776
19,B20,2.42862732654711
20,B52,2.441165854024318
21,Q5,3.4692251480139813
22,B82,2.8804778432197855
23,Q4,3.207969503490687
24,Bx28,2.3823353767126743
25,B42,2.1120365236317893
26,B65,2.4639213359534957
27,B84,2.0962276410490306
28,Q27,3.574406818076884
29,B14,2.241681269645122
30,B83,2.419589204261528
31,B17,2.585067371356901
32,Q43,3.8554989913679796
33,Q88,4.526018994320313
34,Q46,4.685296194098848
35,B64,2.895586189801986
36,B36,2.5392415590096467
37,B74,2.2348741915765995
38,B3,2.6893238528625987
39,M101,2.5313456832097714
40,Bx2,2.270076073965212
41,Bx6,2.2191033228521855
42,M103,2.3908898857545395
43,Bx40,2.4292420248439126
44,Bx41,2.9341783694398
45,Bx4,2.415726124858061
46,Bx36,2.182916187342022
47,Bx19,2.235930234532311
48,Bx39,2.673475966425375
49,Bx9,2.4512963643354735
50,M116,1.818228528734607
51,Bx1,2.6246660963851367
52,Bx15,2.376043299462307
53,M96,1.7987978751779004
54,M104,2.112109859636323
55,Q54,3.1072385433845886
56,Bx35,1.7756549211379713
57,Q1,3.356179451868701
58,B26,2.358490724654072
59,B13,2.465782345777718
60,B54,2.2249756344108644
61,Q42,2.0839843259992232
62,Q58,2.789053258619513
63,Q84,3.725713975914168
64,SIM3C,6.573642966615901
65,B6,2.9676115624613666
66,SIM33C,6.388432451141962
67,Bx4A,2.353165610677755
68,S53,4.065741321833391
69,S93,5.191025009803286
70,Bx13,1.8749637655897975
71,Bx3,2.4625829869236653
72,S46,3.7740108014347338
73,M100,2.140523293820462
74,S54,4.455567332569991
75,S76,4.188584496271388
76,Bx10,2.6571641777446215
77,S48,3.691484543947772
78,S66,3.880771381898864
79,B11,2.1009172708166846
80,B60,2.5431373764771297
81,B67,2.5550727786031326
82,B62,2.519370052311257
83,B68,2.9038959120853427
84,B8,2.3137470457394236
85,Q59,2.743880966479516
86,B47,2.6607066770665826
87,B16,2.563595208849892
88,Q31,3.388416952557333
89,Bx7,2.768853469288804
90,Bx21,2.4402379936139105
91,Q13,3.2105502345663184
92,B24,3.142244004983809
93,Q32,2.6217278979322733
94,B48,2.4678588846440284
95,B37,3.312277419052282
96,S79-SBS,5.765898447306556
97,S62,4.957530793322169
98,Bx31,2.7068994245247726
99,Bx32,2.2746277376470387
100,S59,5.293627052761339
101,Bx8,2.8985733357333516
102,Bx17,2.43261657095683
103,Bx11,1.8358947022904697
104,B7,2.854905768745938
105,M1,2.4749788319151267
106,M9,2.0491312966709487
107,M42,1.7419681783514942
108,M60-SBS,3.6330631359706214
109,M22,1.7738730183556441
110,M7,2.201506941659517
111,B35,2.245471171964317
112,M12,2.520595954810252
113,B44-SBS,3.620463377133243
114,Bx12-SBS,3.2798877183652086
115,M35,2.8144287070372163
116,Bx41-SBS,3.467327109517831
117,M79-SBS,2.188998615215105
118,M20,2.2922553741890908
119,M86-SBS,2.0599120176427728
120,M14D-SBS,1.954551946106471
121,Q36,3.8784976679349703
122,B46-SBS,3.2272281148972435
123,Q28,2.7366553298485936
124,Q20A,2.887387957615517
125,B61,2.3745345494537493
126,Q12,3.403637721646477
127,B63,2.30284524247469
128,Q83,3.1810287383754816
129,Q15A,2.9204150232210386
130,M21,2.0545559215011737
131,Q76,4.01657804907941
132,B4,2.6357498609035455
133,Q48,2.698970922369397
134,Bx6-SBS,2.4916008425943095
135,M55,2.5866286597738357
136,M57,1.7927571176117854
137,M8,1.9501430205234398
138,S61,4.0439632403807
139,S51,4.90661182136167
140,S40,5.1584929159772
141,S44,3.8763053420800704
142,S55,4.882270685959674
143,B9,2.607648823987057
144,B70,2.3045568199719977
145,Q55,2.9072719188745353
146,B43,2.429103851235482
147,B57,2.6491380013482098
148,M102,2.2547227676345254
149,B46,2.779208124014034
150,B49,2.809387728585848
151,B41,2.786388008746135
152,Bx46,2.4267389182367416
153,Q44-SBS,3.6606550004780103
154,Bx5,2.9313212763545704
155,M15,2.4490842975797444
156,Bx33,2.1799069480585964
157,Q16,3.419332856373088
158,B32,3.0837672459814445
159,B69,2.449959597830914
160,Q15,2.869775287929264
161,S74,4.732254203109529
162,S56,4.672634653764578
163,S78,5.195003775113709
164,S52,3.1460660350208833
165,B44,2.922428707920208
166,Bx24,2.384410741469522
167,Bx16,2.8047196686767792
168,Bx34,2.6079642772418143
169,Bx30,2.3842352970701506
170,Bx18,1.6695190817390202
171,B38,2.457974456809258
172,B1,2.8062445943952787
173,S57,3.7376113801506556
174,M72,1.81033614895383
175,M66,1.8303263761566013
176,Q20B,2.7493712063988065
177,M15-SBS,3.1990596688754356
178,B39,3.359939927728333
179,M23-SBS,1.9057125631320069
180,M14A-SBS,2.0351190731333544
181,SIM1C,6.833560215896201
182,B31,2.9250948772220733
183,Bx42,2.2641631974974117
184,Bx22,2.396257431877069
185,M50,1.91571374122588
186,M31,1.9448336417159187
187,SIM6,6.974742136474688
188,B2,2.165509554580082
189,B82-SBS,3.4695832618098956
190,Q2,3.3034091219036323
191,SIM4C,7.715506559722787
192,Bx12,3.2338781154770584
193,Bx27,2.449635035809095
194,M34-SBS,2.0356002433708813
195,M34A-SBS,1.7455775825475806
196,M106,1.8801544865294348
197,X27,5.117925631375009
198,X28,5.366838933959956
199,Bx29,4.304922039247344
200,Q6,2.8391276032486097
201,Q9,2.3240366805610244
202,Q60,3.0905184408774766
203,Q37,2.953006826953287
204,Q53-SBS,4.698637875525641
205,Q8,2.750530802171623
206,Q40,2.9494751504915446
207,Q7,3.2067251559052248
208,QM2,5.975726288072465
209,QM5,5.80759846982392
210,BxM11,4.871483213525357
211,BxM2,4.904403121154029
