,Published Line Ref,Averages
0,M4,2.0027437413948035
1,M2,2.234443776900429
2,Q77,3.1325818220351085
3,M10,2.0871554391936735
4,Q30,3.2504617610577307
5,Bx38,2.1037988911065546
6,B25,2.18365863289371
7,Q56,2.6471730612386195
8,M3,2.0204105287483647
9,Q85,2.9322781182468876
10,B45,2.098466397112291
11,Bx26,2.1591164057500483
12,Q24,2.723363864859568
13,Q3,3.2721839342756116
14,M5,2.4686974586421093
15,M11,1.9740516522270535
16,B15,2.8730069162955805
17,Q17,2.926446992061896
18,B12,1.8610920615086748
19,B20,2.2055314874460126
20,B52,2.184329081207083
21,Q5,3.0968177597404205
22,B82,2.665115013820207
23,Q4,2.8658995546410213
24,Bx28,2.227734578288476
25,B42,1.7909346110454638
26,B65,2.0968378695126084
27,B84,1.3718095095546756
28,Q27,3.129268787409423
29,B14,1.946311117343582
30,B83,2.1319965476292704
31,B17,2.334489725176683
32,Q43,3.4398166655148597
33,Q88,4.021144318890003
34,Q46,4.236876804058149
35,B64,2.7225000912833286
36,B36,2.2799390512816755
37,B74,2.1411536609621566
38,B3,2.4860000697545535
39,M101,2.383045287435645
40,Bx2,2.066242795739454
41,Bx6,2.009837922770784
42,M103,1.9510748976692813
43,Bx40,2.2873869713512605
44,Bx41,2.772361742393519
45,Bx4,2.200747064354146
46,Bx36,2.0537170741857205
47,Bx19,2.0743490858441143
48,Bx39,2.4633653891183775
49,Bx9,2.2719972034986147
50,M116,1.6381414548862239
51,Bx1,2.4308029432483997
52,Bx15,2.1161678467976226
53,M96,1.566193868712762
54,M104,1.9041104444824217
55,Q54,2.910750065075047
56,Bx35,1.5288214111410146
57,Q1,2.9131708476427525
58,B26,2.1240610614634416
59,B13,2.2612474046533246
60,B54,1.9839873606556555
61,Q42,1.753193163142277
62,Q58,2.5941306434477567
63,Q84,3.1258969264954315
64,SIM3C,5.519304051425116
65,B6,2.692631856034208
66,SIM33C,5.64132349676422
67,Bx4A,2.2483696417934835
